Section,Team,Name,Email,Comments
Section A,Team A1,Juan Perez,juan.perez1@unsa.edu.pe,
Section A,Team A1,Ana Torres,ana.torres2@unsa.edu.pe,
Section A,Team A2,Pedro Gomez,pedro.gomez3@unsa.edu.pe,
Section A,Team A2,Lucia Diaz,lucia.diaz4@unsa.edu.pe,
Section A,Team A3,Jose Rojas,jose.rojas5@unsa.edu.pe,
Section A,Team A3,Marina Ruiz,marina.ruiz6@unsa.edu.pe,
Section A,Team A4,Alfredo Salas,alfredo.salas7@unsa.edu.pe,
Section A,Team A4,Patricia Vera,patricia.vera8@unsa.edu.pe,
Section A,Team A5,Martin Castro,martin.castro9@unsa.edu.pe,
Section A,Team A5,Elena Paredes,elena.paredes10@unsa.edu.pe,
Section A,Team A6,Raul Ramos,raul.ramos11@unsa.edu.pe,
Section A,Team A6,Gloria Chavez,gloria.chavez12@unsa.edu.pe,
Section A,Team A7,Victor Flores,victor.flores13@unsa.edu.pe,
Section A,Team A7,Silvia Medina,silvia.medina14@unsa.edu.pe,
Section A,Team A8,Oscar Vargas,oscar.vargas15@unsa.edu.pe,
Section A,Team A8,Paula Molina,paula.molina16@unsa.edu.pe,
Section A,Team A9,Andres Soto,andres.soto17@unsa.edu.pe,
Section A,Team A9,Teresa Luna,teresa.luna18@unsa.edu.pe,
Section A,Team A10,Diego Peña,diego.pena19@unsa.edu.pe,
Section A,Team A10,Laura Campos,laura.campos20@unsa.edu.pe,
Section A,Team A11,Manuel Bravo,manuel.bravo21@unsa.edu.pe,
Section A,Team A11,Julia Cabrera,julia.cabrera22@unsa.edu.pe,
Section A,Team A12,Alonso Cordero,alonso.cordero23@unsa.edu.pe,
Section A,Team A12,Daniela Figueroa,daniela.figueroa24@unsa.edu.pe,
Section A,Team A13,Esteban Huaman,esteban.huaman25@unsa.edu.pe,
Section A,Team A13,Marisol Quispe,marisol.quispe26@unsa.edu.pe,
Section A,Team A14,Renato Ramos,renato.ramos27@unsa.edu.pe,
Section A,Team A14,Valeria Salazar,valeria.salazar28@unsa.edu.pe,
